434
11906
         23381207 function calls (23378973 primitive calls) in 28.024 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6230(refer_to_array_attribute)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
      877    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       49    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
       35    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
       10    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 core.py:2706(MaskedArray)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8103(getdoc)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      148    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 core.py:3123(view)
      373    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      272    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
       40    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       23    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 numerictypes.py:590(_register_types)
        1    0.000    0.000    0.000    0.000 core.py:6457(__array_finalize__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__enter__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      304    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 datetime.py:2216(timezone)
       46    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       28    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        3    0.000    0.000    0.000    0.000 datetime.py:1602(__new__)
       85    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       48    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.generic' objects}
      288    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
